name,area,century,nationality
Francis Garnier,Mekong River,19th,French
Adrien de Gerlache,"Antarctica, Arctic",19th,Belgian
Adrien de Gerlache,"Antarctica, Arctic",20th,Belgian
Romolo Gessi,"the Nile, Sudan",19th,Italian
Humphrey Gilbert,North America,16th,English
Ernest Giles,Central Australia,19th,Australian
Diogo Gomes,West African coast,15th,Portuguese
André Gonçalves,Brazil,15th,Portuguese
André Gonçalves,Brazil,16th,Portuguese
Antão Gonçalves,West African coast,15th,Portuguese
Lopes Gonçalves,Atlantic Ocean,15th,Portuguese
Binot Paulmier de Gonneville,Brazil (Santa Catarina),15th,French
Binot Paulmier de Gonneville,Brazil (Santa Catarina),16th,French
Sascha Grabow,DRC Congo,20th,German
Sascha Grabow,DRC Congo,21st,German
James Augustus Grant,East Africa,19th,Scottish
João Grego,African coast,15th,Portuguese
Juan de Grijalva,"Mexico, Nicaragua",16th,Spanish
Grigory Grum-Grshimailo,"Central Asia, Tuva, Far East",19th,Russian
Grigory Grum-Grshimailo,"Central Asia, Tuva, Far East",20th,Russian
Gonzalo Guerrero,Yucatán Peninsula,16th,Spanish
Mikhail Gvozdev,"First Kamchatka Expedition, Great Northern Expedition",18th,Russian
Charles Gwynn,Sudan,19th,Irish
Charles Gwynn,Sudan,20th,Irish
Niels Peter Høeg Hagen,Greenland,20th,Danish
Hanno the Navigator,West African coast,6th BC,Carthaginian
Hannu,East Africa,21st,Egyptian
Hannu,East Africa,20th BC,Egyptian
Gonzalo López de Haro,Pacific Northwest,18th,Spanish
Alfred Harrison,Arctic,20th,English
Dirk Hartog,Western Australian coast,17th,Dutch
Ahmed Pasha Hassanein[6],Oweinat and the Sahara,20th,Egyptian
Ferdinand Vandeveer Hayden,Rocky Mountains and the Western United States,19th,American
Zheng He,"South Asia, Southeast Asia, Middle East, East African coast",15th,Chinese
Samuel Hearne,"North Canada, Arctic",18th,English
Bruno de Heceta,Pacific Northwest,18th,Spanish
Sven Hedin,Central Asia,19th,Swedish
Sven Hedin,Central Asia,20th,Swedish
Matthew Alexander Henson,Arctic,20th,American
Louis Hennepin,North American interior,17th,Belgian
Louis Hennepin,North American interior,17th,French
Pedro de Heredia,Northern Colombia,16th,Spanish
Bjarni Herjulfsson,North America,10th,Norse
Bjarni Herjulfsson,North America,10th,Viking
William Lewis Herndon,Amazon basin,19th,American
Herodotus,"Near East, Middle East, North Africa",5th BC,Greek
Thor Heyerdahl,anthropological ocean voyages,20th,Norwegian
Sir Edmund Hillary,"Mount Everest, Antarctica",20th,New
Sir Edmund Hillary,"Mount Everest, Antarctica",20th,Zeal
Sir Edmund Hillary,"Mount Everest, Antarctica",20th,er
Himilco the Navigator,Northwestern coast of Europe,6th BC,Carthaginian
Hippalus,Indian Ocean,1st BC,Greek
Clement Hodgkinson,New South Wales (Australia),19th,English
Pelham Aldrich,Arctic,19th,English
Pelham Aldrich,Arctic,20th,English
Emil Holub,Africa,19th,Czech
Robert Hottot,Congo River,20th,French
Cornelis de Houtman,sea route from Europe to Indonesia,16th,Dutch
Frederick de Houtman,Western Australian coast,16th,Dutch
Frederick de Houtman,Western Australian coast,17th,Dutch
William Hovell,Southern New South Wales,19th,English
Du Huan,"Central Asia, Middle East, East African coast",8th,Chinese
Henry Hudson,"Northwest Passage, Hudson River and Hudson Bay",17th,English
Alexander von Humboldt,"Latin America, Siberia",19th,German
Hamilton Hume,Australian interior,19th,Australian
James S. Hutchinson,Sierra Nevada (U.S.),20th,American
Hyecho,"India, Persia and Central Asia",8th,Korean
João Infante,African coast,15th,Portuguese
Helge Ingstad,"Newfoundland, Greenland, Alaska",20th,Norwegian
James Irwin,The Moon,20th,American
Kurbat Ivanov,"Siberia, Russian Far East, discoverer of Lake Baikal",17th,Siberian
Kurbat Ivanov,"Siberia, Russian Far East, discoverer of Lake Baikal",17th,Cossack
Roberto Ivens,African continent,19th,Portuguese
Cristóvão Jacques,"Paraná River, Brazil, Uruguay, Argentina",16th,Portuguese
James of Ireland,"Sumatra, China",14th,Irish
Willem Janszoon,Australia (Queensland),17th,Dutch
Anthony Jenkinson,"Russia, Persia",16th,English
Louis Jolliet,Mississippi River,17th,French
Louis Jolliet,Mississippi River,17th,Canadian
Jørgen Jørgensen,Tasmania,18th,Danish
Jørgen Jørgensen,Tasmania,19th,Danish
Friar Julian,Volga Bulgaria,13th,Hungarian
Thorfinn Karlsefni,Vinland,11th,Icel
Thorfinn Karlsefni,Vinland,11th,ic
Johann Karl Ehrenfried Kegel,Kamchatka,19th,German
George Kennan,Russia[7],19th,American
George Kennan,Russia[7],20th,American
Edmund Kennedy,Australian interior,19th,British
Edmund Kennedy,Australian interior,19th,Australian
Robert Kennicott,"Alaska, Siberia, Yukon and Northern Canada",19th,American
Yerofey Khabarov,Second Russian to explore the Amur region,17th,Russian
Khashkhash Ibn Saeed Ibn Aswad,Atlantic Ocean (possibly Americas),9th,Andalusian
Mary Kingsley,"Cameroon, Gabon, Congo, and other South West African regions",19th,English
Eusebio Kino,"Californias, Sonora and Arizona",17th,Italian
Eusebio Kino,"Californias, Sonora and Arizona",18th,Italian
Maria Klenova,One of the founders of marine geology,20th,Russian
Amyr Klink,Antarctica,20th,Brazilian
John Knight,"Greenland, Labrador",17th,English
Ness Knight,"South America, Namibia",21st,South
Ness Knight,"South America, Namibia",21st,African
Johan Peter Koch,Greenland,20th,Danish
Alexander Kolchak,Russian Arctic,20th,Russian
Ferdinand Konščak,Baja California Peninsula,17th,Croatian
Fyodor Konyukhov,"circumnavigation, Explorers Grand Slam, pole of inaccessibility",20th,Russian
Fyodor Konyukhov,"circumnavigation, Explorers Grand Slam, pole of inaccessibility",21st,Russian
Otto von Kotzebue,Pacific Ocean,19th,Baltic
Otto von Kotzebue,Pacific Ocean,19th,German
Pyotr Kozlov,"Mongolia, Tibet",20th,Russian
Johann Ludwig Krapf,"Ethiopia, Kenya",19th,German
Pyotr Krenitsyn,"Alaska, Aleutian Islands, Kamchatka Peninsula",18th,Russian
Adam Johann von Krusenstern,First Russian circumnavigation,19th,Baltic
Adam Johann von Krusenstern,First Russian circumnavigation,19th,German
Francisco de Lacerda,Zambia,18th,Portuguese
Juan Ladrillero,Chile,16th,Spanish
Ernest Doudard de Lagrée,"Indochina, Mekong and Yunnan",19th,French
Alexander Gordon Laing,West Africa (Niger River and Timbuktu),19th,Scottish
Pierre Martin de La Martinière,"Norway, Lapland, northern Russia, Novaya Zemlya, Greenland and Iceland",17th,French
Richard Lemon Lander,West Africa (Niger and Benue Rivers),19th,Cornish
Grigori Ivanovitch Langsdorff,Brazil,19th,Russian
Grigori Ivanovitch Langsdorff,Brazil,19th,German
"Jean-François de Galaup, comte de La Pérouse",Pacific Rim,18th,French
Khariton Laptev,Great Northern Expedition,18th,Russian
Anthony de la Roché,Antarctica,17th,English
João Fernandes Lavrador,Labrador,15th,Portuguese
João Fernandes Lavrador,Labrador,16th,Portuguese
Joseph N. LeConte,Sierra Nevada (U.S.),20th,American
Albert von Le Coq,Central Asia,19th,German
Albert von Le Coq,Central Asia,20th,German
John Ledyard,"Australasia, Oceania, Russia",18th,American
