Tweets,User,User_statuses_count,user_followers,User_location,User_verified,fav_count,rt_count,tweet_date,hashtags,quoted_hashtags,User_lat,User_lng
RT @CourseOp: Time Series Analysis and Forecasting using Python ($94.99 to Free) #Serverless #ML #Linux #IoT #JavaScript #CloudComputing #B…,Friday,274110,1148,,False,0,20,2020-12-06 19:19:20,"['Serverless', 'ML', 'Linux', 'IoT', 'JavaScript', 'CloudComputing']",[],,
"RT @KirkDBorne: Top #AI and #MachineLearning research papers of 2020: https://t.co/uuhVSuRGxD via @topbots 
——————
#BigData #DataScience #D…",Innovation Merge,137,37,India,False,0,32,2020-12-06 19:19:14,"['AI', 'MachineLearning', 'BigData', 'DataScience']",[],,
"RT @Eli_Krumova: #LSTM #Networks: Detailed Explanation🌐📡
⬇️
https://t.co/xBAcv4Sa8E
Via @gp_pulipaka 

#BigData #Analytics #DataScience #AI…",Friday,274110,1148,,False,0,14,2020-12-06 19:18:57,"['LSTM', 'Networks', 'BigData', 'Analytics', 'DataScience', 'AI']",[],,
"RT @Eli_Krumova: #LSTM #Networks: Detailed Explanation🌐📡
⬇️
https://t.co/xBAcv4Sa8E
Via @gp_pulipaka 

#BigData #Analytics #DataScience #AI…",Shy BOT,62809,331,,False,0,14,2020-12-06 19:18:52,"['LSTM', 'Networks', 'BigData', 'Analytics', 'DataScience', 'AI']",[],,
"RT @Udemy_Coupons1: 100%OFF #UdemyCoupon Code For Today 06/12/2020 Daily Update https://t.co/4zNv91cLJj

#MachineLearning. #BigData #Analyt…",Friday,274110,1148,,False,0,17,2020-12-06 19:18:46,"['UdemyCoupon', 'MachineLearning', 'BigData']",[],,
"RT @Udemy_Coupons1: 100%OFF #UdemyCoupon Code For Today 06/12/2020 Daily Update https://t.co/4zNv91cLJj

#MachineLearning. #BigData #Analyt…",Shy BOT,62809,331,,False,0,17,2020-12-06 19:18:40,"['UdemyCoupon', 'MachineLearning', 'BigData']",[],,
"RT @Eli_Krumova: Outlier Detection with #RNN #Autoencoders
⬇️
https://t.co/mig7pMnWuB
v/ @gp_pulipaka

#BigData #Analytics #DataScience #AI…",Friday,274110,1148,,False,0,12,2020-12-06 19:18:39,"['RNN', 'Autoencoders', 'BigData', 'Analytics', 'DataScience', 'AI']",[],,
"RT @Eli_Krumova: Outlier Detection with #RNN #Autoencoders
⬇️
https://t.co/mig7pMnWuB
v/ @gp_pulipaka

#BigData #Analytics #DataScience #AI…",Shy BOT,62809,331,,False,0,12,2020-12-06 19:18:33,"['RNN', 'Autoencoders', 'BigData', 'Analytics', 'DataScience', 'AI']",[],,
"RT @Udemy_Coupons1: Python And Flask Framework | 100%OFF #udemycoupon https://t.co/acg59XUQPd

#MachineLearning #BigData #Analytics #DataSc…",Friday,274110,1148,,False,0,13,2020-12-06 19:18:30,"['udemycoupon', 'MachineLearning', 'BigData', 'Analytics']",[],,
"RT @chidambara09: 4 Free #Online #CyberSecurity Testing #Tools For 2021 https://t.co/fQ3Hg5QgeF

#bigdata 
#AI #IoT #Tech #Data #USA #Linux…",Friday,274110,1148,,False,0,57,2020-12-06 19:18:30,"['Online', 'CyberSecurity', 'Tools', 'bigdata', 'AI', 'IoT', 'Tech', 'Data', 'USA', 'Linux']",[],,
"RT @chidambara09: 4 Free #Online #CyberSecurity Testing #Tools For 2021 https://t.co/fQ3Hg5QgeF

#bigdata 
#AI #IoT #Tech #Data #USA #Linux…",Gnuts about Code,534236,3376,,False,0,57,2020-12-06 19:18:30,"['Online', 'CyberSecurity', 'Tools', 'bigdata', 'AI', 'IoT', 'Tech', 'Data', 'USA', 'Linux']",[],,
"RT @Udemy_Coupons1: Python And Flask Framework | 100%OFF #udemycoupon https://t.co/acg59XUQPd

#MachineLearning #BigData #Analytics #DataSc…",Shy BOT,62809,331,,False,0,13,2020-12-06 19:18:25,"['udemycoupon', 'MachineLearning', 'BigData', 'Analytics']",[],,
"RT @chidambara09: 4 Free #Online #CyberSecurity Testing #Tools For 2021 https://t.co/fQ3Hg5QgeF

#bigdata 
#AI #IoT #Tech #Data #USA #Linux…",Cyber Security Feed,1210441,12416,Internet,False,0,57,2020-12-06 19:18:24,"['Online', 'CyberSecurity', 'Tools', 'bigdata', 'AI', 'IoT', 'Tech', 'Data', 'USA', 'Linux']",[],,
"RT @Udemy_Coupons1: Microsoft OneDrive Master Course | 100%OFF #udemycoupon https://t.co/fT8YHml7gD

#MachineLearning #BigData #Analytics #…",Shy BOT,62809,331,,False,0,19,2020-12-06 19:18:22,"['udemycoupon', 'MachineLearning', 'BigData', 'Analytics']",[],,
